4.0566,513.33,0
7.3786,515.17,0.50636
10.751,514.58,-0.17348
14.163,514.95,0.10891
17.556,514.7,-0.074275
20.946,514.84,0.04267
24.341,514.75,-0.027463
27.72,514.78,0.0097212
31.116,514.79,0.0024581
34.499,514.76,-0.0081687
37.89,514.8,0.0092919
41.277,514.77,-0.0079181
44.665,514.79,0.0055996
48.053,514.78,-0.0032771
51.441,514.78,0.0014089
54.83,514.78,-0.0001537
58.217,514.78,-0.00052842
61.606,514.78,0.00077032
64.994,514.78,-0.00073932
68.382,514.78,0.00057299
71.77,514.78,-0.00036663
75.158,514.78,0.00018624
78.546,514.78,-5.5312e-05
81.934,514.78,-2.4944e-05
85.323,514.78,6.4722e-05
88.711,514.78,-7.0999e-05
92.099,514.78,4.6894e-05
95.487,514.78,-1.6692e-05
98.875,514.78,-1.0028e-05
102.26,514.78,3.7406e-05
105.65,514.78,-5.3556e-05
109.04,514.78,4.8457e-05
112.43,514.78,-2.0057e-05
115.82,514.78,-4.0171e-05
119.2,514.78,0.00015086
122.59,514.78,-0.00030479
125.98,514.78,0.00048078
129.37,514.78,-0.00062656
132.76,514.78,0.00065939
136.14,514.78,-0.0004669
139.54,514.78,-0.0001347
142.91,514.78,0.0012641
146.31,514.77,-0.0028666
149.7,514.79,0.0042858
153.08,514.77,-0.0044536
156.49,514.81,0.0095742
159.82,514.77,-0.010362
163.3,514.85,0.022832
166.53,514.69,-0.048475
170.72,513,-0.38418
175.35,510.81,-0.44189
178.73,508.54,-0.59044
182.51,504.29,-0.8447
186.26,498.64,-0.98446
189.79,492.09,-1.0759
193.5,484.05,-1.1388
196.99,474.84,-1.2087
200.47,464.33,-1.2509
204.12,451.34,-1.297
207.85,436.02,-1.3318
211.68,418.02,-1.3615
215.5,398.98,-1.3728
219.25,381.47,-1.3598
222.94,365.43,-1.3445
226.52,351.41,-1.3207
230.15,338.17,-1.3032
233.75,326.27,-1.2769
237.39,315.47,-1.2459
241.01,305.17,-1.2332
244.66,296.11,-1.1876
248.43,287.52,-1.1569
252.12,280.18,-1.1048
255.87,273.23,-1.0764
259.52,267.58,-0.99744
263.32,262.34,-0.94285
267.04,258.13,-0.84827
270.71,254.74,-0.74523
274.72,251.49,-0.68093
278.13,250.18,-0.36689
281.47,248.89,-0.3674
284.92,248.29,-0.17133
288.23,248.33,0.011583
291.7,249.31,0.27353
294.98,249.99,0.20574
298.57,251.95,0.4986
302.59,255.43,0.71401
306.13,258.49,0.71425
309.77,263.07,0.8975
313.46,268.04,0.93286
317.16,274.01,1.0167
